3:Temperature_interior_Sensor,4:Humedad_interior_Sensor,5:Lighting_interior_Sensor,6:iluminacao_oeste,7:iluminacao_leste,8:iluminacao_sul,9:Temperature_Exterior_Sensor,10:Humedad_Exterior_Sensor,11:Precipitacion,12:boolean_rain
17.8275,42.415,113.52,9690.24,12604.2,95436.8,18.115,48.375,0,0
18.1207,42.2453,113.605,11022,10787.2,95436.8,18.4147,47.808,0,0
18.4367,42.2267,113.6,13960.5,9669.63,95398.6,18.8533,47.432,0,0
18.7513,42.0987,113.344,18511.2,9648.13,95360.3,19.2907,47.024,0,0
19.0414,42.0686,113.034,26349,9208.32,95354.9,19.74,45.4743,0,0
19.2773,42.0347,113.6,36511.7,8694.78,95354.9,20.166,45.5467,0,0
19.5367,41.9947,112.981,49288.5,8501.25,95354.9,20.566,44.968,0,0
19.7307,41.9947,111.259,62253.7,8687.62,95174.7,20.8427,45.1813,0,0
19.9693,42.1253,83.3547,71453.4,8888.32,91848.7,21.204,45.416,0,0
20.1407,42.0427,83.36,80076.8,9046.02,87217.5,21.5227,45.0213,0,0
20.3267,42.1787,83.6107,86682.3,9182.21,81720.7,21.756,44.36,0,0
20.4713,42.7067,59.952,88648.4,9347.07,75380.1,21.984,44.7947,0,0
20.9093,41.5147,52.824,91406.3,9712.64,68515.2,22.108,43.984,0,0
21.4253,40.956,45.6747,90472.4,9963.52,60604.4,22.1373,44.5467,0,0
21.8467,40.6347,40.16,88391.7,9655.3,52794.7,22.08,44.7813,0,0
22.1573,40.8413,32.248,89134.4,8651.78,44743.3,21.9373,45.6773,0,0
22.404,40.8867,23.44,88462.7,7906.3,36479,21.7067,45.5173,0,0
22.7307,40.3867,23.44,85333.3,7433.22,28270.6,21.4667,45.2373,0,0
22.9373,39.9227,23.44,84587.9,7175.17,21476.7,21.1773,45.0747,0,0
23.2,39.6133,22.244,78588.6,6831.1,16318.5,20.9373,45.072,0,0
23.436,39.084,23.44,74555.4,6515.71,12792.5,20.7107,44.128,0,0
23.668,38.3013,22.784,65830.9,5899.26,10106.2,20.4627,43.2747,0,0
23.852,37.7867,23.5853,40424.4,4243.46,6537.22,20.2047,43.6107,0,0
24.0213,37.712,23.2253,3024.9,2229.25,2042.88,19.976,45.8293,0,0
24.1413,37.748,23.2427,2207.74,1576.96,1512.45,19.756,47.0693,0,0
24.268,37.8373,21.4213,1017.86,222.208,293.888,19.5273,49.5467,0,0
24.38,38.2173,13.362,0,0,0,19.3013,52.2027,0,0
24.0707,39.356,13.1027,0,0,0,19.0413,53.8053,0,0
23.588,40.1587,13.6067,0,0,0,18.768,54.928,0,0
23.2867,40.752,13.0213,0,0,0,18.4967,55.752,0,0
23.032,41.2507,13.5413,0,0,0,18.23,56.0213,0,0
22.7747,41.616,12.7773,0,0,0,18.0053,56.584,0,0
22.5533,42.0027,13.3787,0,0,0,17.7807,57.5387,0,0
22.352,42.4373,13.0213,0,0,0,17.576,57.9147,0,0
22.1227,42.6267,13.0213,0,0,0,17.3707,57.5893,0,0
21.9347,42.7493,13.2153,0,0,0,17.1607,57.1467,0,0
21.7133,42.808,13.2653,0,0,0,16.9407,57.1653,0,0
21.5373,42.8533,12.5813,0,0,0,16.6853,57.1813,0,0
21.348,42.856,13.1827,0,0,0,16.416,57.2453,0,0
21.148,42.9227,12.8587,0,0,0,16.22,57.3653,0,0
20.9813,42.9413,12.8587,0,0,0,16.0547,57.5253,0,0
20.8107,43.016,12.94,0,0,0,15.876,57.712,0,0
20.66,43.0853,13.1833,0,0,0,15.7213,57.896,0,0
20.4753,43.1307,13.1027,0,0,0,15.5673,58.0133,0,0
20.3147,43.1813,13.184,0,0,0,15.4147,57.928,0,0
20.164,43.24,12.94,0,0,0,15.26,58.048,0,0
19.9967,43.2427,14.4027,0,0,0,15.066,58.0107,0,0
19.846,43.248,13.428,0,0,0,14.864,57.864,0,0
19.6773,43.2293,13.184,0,0,0,14.6387,57.7173,0,0
19.526,43.1573,13.0207,0,0,0,14.4433,57.5627,0,0
19.3733,43.16,13.5413,0,0,0,14.2667,57.472,0,0
19.2087,43.152,13.1027,0,0,0,13.9887,57.7253,0,0
19.0527,43.1573,13.2653,0,0,0,13.7673,58.3413,0,0
18.8973,43.24,12.4353,0,0,0,13.6213,58.496,0,0
18.734,43.2613,13.6387,0,0,0,13.522,58.1013,0,0
18.5833,43.2187,13.2,0,0,0,13.3787,57.44,0,0
18.4167,43.1653,13.428,0,0,0,13.1973,57.5707,0,0
18.2727,43.16,13.1993,0,0,0,12.9067,57.4293,0,0
18.0973,43.16,13.5093,0,0,0,12.6573,57.3867,0,0
17.9533,43.16,13.184,0,0,0,12.5453,57.3787,0,0
17.8173,43.176,13.8013,0,0,0,12.398,57.3493,0,0
17.654,43.1653,13.428,0,0,0,12.29,56.8533,0,0
17.5153,43.104,13.3467,0,0,0,12.176,56.6053,0,0
17.3267,42.872,13.3467,0,0,0,12.1367,56.2693,0,0
17.1553,42.8507,13.2653,0,0,0,12.072,56.0453,0,0
17.0253,42.8933,13.428,0,0,0,11.9873,55.984,0,0
16.894,42.856,13.428,0,0,0,11.9167,56.0373,0,0
16.7433,42.752,13.1027,0,0,0,11.8633,56.0667,0,0
16.608,42.648,12.7607,0,0,0,11.836,56.1867,0,0
16.4307,42.672,13.2653,0,0,0,11.7567,56.104,0,0
16.2933,42.776,13.428,0,0,0,11.6907,56.0907,0,0
16.174,42.8667,13.3467,0,0,0,11.5713,56.4747,0,0
16.036,42.9387,13.3467,0,0,0,11.3687,57.0773,0,0
15.9227,42.9787,13.672,0,0,0,11.2627,56.8853,0,0
15.8607,43.016,13.8507,0,0,0,11.1727,56.9093,0,0
15.74,43.0747,19.6253,150.528,2042.88,738.304,11.1,56.9573,0,0
15.6427,43.0853,23.44,4107.26,22017,7059.8,11.03,57.088,0,0
15.5307,43.0507,23.44,7877.63,43632,16936.3,11,56.8347,0,0
15.4753,42.904,23.5507,9734.14,54998.4,26204.8,11.09,56.12,0,0
15.3773,42.84,23.44,11285.8,62906.4,35655.7,11.2253,55.3573,0,0
15.6793,42.064,26.528,12533.8,69208.7,44455.3,11.4613,54.4987,0,0
16.2273,41.116,38.3507,13487.4,72149.7,51937.3,11.778,53.9627,0,0
16.6473,40.5907,49.1547,14361.3,74227.7,59392,12.1447,54.224,0,0
17.0253,40.2613,65.44,15451.5,75502.9,67114.3,12.57,55.1733,0,0
17.3987,39.98,83.0133,17179.3,75882.5,73408.5,13.0093,56.2373,0,0
17.7927,39.62,107.493,18683.9,76455.9,79055.5,13.4953,56.9333,0,0
18.2633,39.2147,112.56,17724.8,78654.1,84863.7,14.0053,56.792,0,0
18.712,38.5987,128.923,15824.9,75707.7,89205.4,14.52,55.752,0,0
19.2667,37.8773,140.64,14361.9,72237.1,93743.8,15.106,55.08,0,0
19.8067,37.096,142.944,13043,67125.2,95660.7,15.6,54.1627,0,0
20.3413,36.3373,143.2,11896.1,58480,95649.8,16.0653,53.416,0,0
20.8453,36.7587,128.155,11179.3,48507.6,95584.3,16.586,52.92,0,0
21.452,39.972,113.429,10685.4,36554.1,95518.7,17.142,52.8747,0,0
21.788,40.688,114.24,10157.1,25960.4,95475,17.636,52.696,0,0
21.836,41.2693,112.64,9640.96,19033.4,95425.9,18.03,52.0427,0,0
21.6173,39.4267,142.56,9411.58,15601,95431.3,18.3747,52.0773,0,0
21.424,40.624,141.68,9777.15,13444.4,95382.2,18.6873,52.4213,0,0
21.6,41.4853,139.797,11366.1,11158.2,95354.9,18.9767,52.688,0,0
21.8587,41.824,123.637,14368.8,10135.6,95311.2,19.248,53.16,0,0
22.0573,42.1573,116.672,18976.8,10092.5,95344,19.5893,53.3893,0,0
22.1907,42.6587,112.496,26528.4,9640.96,95354.9,19.9793,53.2213,0,0
22.34,43.472,112.496,37169.8,9017.34,95278.4,20.274,53.2027,0,0
22.4707,43.312,112.411,49610.8,8759.3,95300.3,20.5307,53.112,0,0
22.62,43.472,112.581,62794.4,8902.66,95163.7,20.88,53.008,0,0
22.624,43.6587,94.976,72485.5,8967.17,91799.6,21.2107,52.6907,0,0
22.692,43.6027,82.88,81002.5,9053.18,86911.7,21.5027,52.288,0,0
22.7347,43.3333,82.8,88124.1,9218.05,81589.6,21.844,51.784,0,0
22.78,43.2533,62.1467,91045.9,9447.42,75524.8,22.196,50.8,0,0
22.816,43.1067,52.5893,93498,9784.32,68381.4,22.3693,49.4987,0,0
22.8213,43.0213,45.0453,93066.6,9992.19,60907.5,22.32,48.1893,0,0
22.808,42.8987,39.6987,91258.9,9612.29,52974.9,22.136,46.432,0,0
22.776,42.624,32.0533,92160,8673.28,44761.1,21.8853,45.1947,0,0
22.7347,42.224,22.604,91930.6,7985.15,36319.2,21.5827,44.3787,0,0
22.6907,41.952,23.388,88861.4,7533.57,27955.2,21.2467,44.2373,0,0
22.608,41.664,22.9467,88479.1,7347.2,21349,20.9627,44.0347,0,0
22.5613,41.5227,23.1093,82580.8,7081.98,16311.6,20.6947,43.544,0,0
22.484,41.48,22.9813,78711.5,6773.76,12907.9,20.4427,43.4693,0,0
22.3867,41.0613,23.144,70421.2,6207.49,10277.9,20.1167,43.048,0,0
22.2987,40.8947,22.604,48251.2,4652.03,7182.34,19.8167,43.36,0,0
22.1787,40.776,22.9467,2788.35,2386.94,1978.37,19.5533,44.864,0,0
22.064,40.9387,22.7027,2085.89,1734.66,1526.78,19.3293,48.3867,0,0
21.952,41.44,22.0213,1103.87,473.088,451.584,19.1287,51.8347,0,0
21.8613,42.048,13.46,0,0,0,18.9267,54.5067,0,0
21.74,42.7947,12.8587,0,0,0,18.7113,56.8587,0,0
21.624,43.52,13.1993,0,0,0,18.4533,58.408,0,0
21.496,44.056,12.94,0,0,0,18.2053,59.5707,0,0
21.3867,44.496,13.004,0,0,0,17.9927,60.184,0,0
21.2507,44.944,13.3787,0,0,0,17.7647,61.1787,0,0
